170	1	vbfH	0.580	0.546	0.540	0.388
170	1	data	9	6	3	7
180	1	DY	0.327	0.000	0.000	0.335
180	1	Top	3.071	1.558	1.537	0.921
180	1	WJet	0.000	0.000	0.000	0.000
180	1	VV	0.130	0.090	0.166	0.100
180	1	WW	2.781	2.640	2.894	1.832
180	1	ggWW	0.235	0.256	0.305	0.200
180	1	ggH	4.206	3.579	3.676	2.409
180	1	vbfH	0.420	0.458	0.436	0.303
180	1	data	8	6	3	6
190	1	DY	0.349	0.183	0.000	0.335
190	1	Top	3.696	4.409	4.077	1.747
190	1	WJet	0.000	0.000	0.000	0.000
190	1	VV	0.245	0.119	0.210	0.237
190	1	WW	4.061	3.975	3.954	2.698
190	1	ggWW	0.319	0.378	0.442	0.254
190	1	ggH	3.246	2.962	3.140	2.036
190	1	vbfH	0.407	0.427	0.434	0.273
190	1	data	11	8	8	9
200	1	DY	0.349	0.183	0.000	0.335
200	1	Top	3.638	4.782	5.059	2.355
200	1	WJet	0.000	0.000	0.000	0.000
200	1	VV	0.277	0.114	0.236	0.256
200	1	WW	4.143	4.851	4.664	2.750
200	1	ggWW	0.323	0.426	0.505	0.257
200	1	ggH	2.335	2.619	2.792	1.557
200	1	vbfH	0.292	0.371	0.389	0.203
200	1	data	12	12	11	9
250	1	DY	0.539	0.183	0.000	0.154
250	1	Top	3.568	7.011	8.172	4.146
250	1	WJet	0.000	0.000	0.000	0.000
250	1	VV	0.427	0.172	0.407	0.418
250	1	WW	4.109	6.066	6.824	2.718
250	1	ggWW	0.241	0.422	0.495	0.220
250	1	ggH	0.930	1.625	1.675	0.712
250	1	vbfH	0.126	0.239	0.232	0.091
250	1	data	9	23	14	7
300	1	DY	0.351	0.183	0.040	0.049
300	1	Top	3.695	6.953	6.223	4.890
300	1	WJet	0.000	0.000	0.000	0.000
300	1	VV	0.379	0.140	0.354	0.405
300	1	WW	4.075	5.260	6.739	2.540
300	1	ggWW	0.158	0.344	0.376	0.175
300	1	ggH	0.995	1.369	1.449	0.765
300	1	vbfH	0.123	0.171	0.178	0.092
300	1	data	14	23	14	9
350	1	DY	0.329	0.183	0.040	0.049
350	1	Top	3.406	6.268	4.477	4.564
350	1	WJet	0.000	0.000	0.000	0.000
350	1	VV	0.319	0.120	0.314	0.364
350	1	WW	3.592	4.624	6.086	2.291
350	1	ggWW	0.156	0.309	0.329	0.151
350	1	ggH	1.131	1.391	1.333	0.840
350	1	vbfH	0.110	0.141	0.135	0.077
350	1	data	13	16	14	9
400	1	DY	0.329	0.023	0.040	0.040
400	1	Top	3.140	7.123	4.977	4.454
400	1	WJet	0.000	0.000	0.000	0.000
400	1	VV	0.277	0.120	0.251	0.344
400	1	WW	3.066	3.875	5.375	2.022
400	1	ggWW	0.147	0.241	0.256	0.132
400	1	ggH	0.976	1.175	1.271	0.763
400	1	vbfH	0.075	0.097	0.094	0.055
400	1	data	10	13	12	9
450	1	DY	0.025	0.023	0.040	0.000
450	1	Top	2.006	3.878	3.313	2.552
450	1	WJet	0.000	0.000	0.000	0.000
450	1	VV	0.170	0.091	0.107	0.166
450	1	WW	1.828	2.543	3.370	1.131
450	1	ggWW	0.113	0.150	0.148	0.094
450	1	ggH	0.539	0.762	0.776	0.437
450	1	vbfH	0.050	0.063	0.068	0.036
450	1	data	6	7	7	6
500	1	DY	0.025	0.023	0.040	0.000
500	1	Top	1.375	2.393	1.963	1.883
500	1	WJet	0.000	0.000	0.000	0.000
500	1	VV	0.170	0.075	0.094	0.108
500	1	WW	1.520	1.989	2.651	1.017
500	1	ggWW	0.092	0.123	0.119	0.088
500	1	ggH	0.378	0.461	0.507	0.295
500	1	vbfH	0.037	0.049	0.051	0.030
500	1	data	5	7	6	5
550	1	DY	0.025	0.023	0.040	0.000
550	1	Top	1.375	2.362	1.863	0.725
550	1	WJet	0.000	0.000	0.000	0.000
550	1	VV	0.122	0.030	0.084	0.096
550	1	WW	1.218	1.606	2.300	0.948
550	1	ggWW	0.075	0.095	0.090	0.075
550	1	ggH	0.245	0.311	0.332	0.187
550	1	vbfH	0.027	0.037	0.040	0.021
550	1	data	2	4	5	2
600	1	DY	0.025	0.023	0.040	0.000
600	1	Top	1.081	1.631	1.864	0.706
600	1	WJet	0.000	0.000	0.000	0.000
600	1	VV	0.104	0.013	0.084	0.058
600	1	WW	1.022	1.303	1.813	0.722
600	1	ggWW	0.051	0.077	0.082	0.058
600	1	ggH	0.146	0.194	0.197	0.116
600	1	vbfH	0.020	0.029	0.028	0.016
600	1	data	1	3	4	1
